#,ID,DeliveryDate,DeliveryReference,Supplier_Name,ASN_Number,Expected_Cases,Expected_Lines,Estimated_Pallets,Estimated_Cages,Estimated_Totes,Cartons_Due,Pallets_Due,Ready_Label,Palletise,Wrap_Strap,Collar,Bagging_Required,Actual_Cases,Calc_Hours,Pallets_Arrived,Cartons_Arrived,Grid_No,Last_Saved,Total_Operatives,Total_Hours,Origin,Due_Time,SHIFT,PalletsCreated,CagesCreated,TotesCreated,NonEuroPallet,Supplier_Code,Delivery_Comments,StartTAGID,UpdatedByUsername,UpdatedByEmpNo,UpdatedByName,TotalShortRows,TotalExtraRows,GRID_SHIFT,LOCK_STATUS,STATUS,
290,290,30/10/2018 00:00,46738,VIGNAL SYSTEMS,Y0156679,87,3,0,1,15,0,2,NO,NO,NO,NO,NO,87,1,0,0,,30/10/2018 10:22,0,0,France,09:30:00,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
291,291,30/10/2018 00:00,46767,TENNECO WALKER LTD.,Y0156695,29,4,0,1,0,7,0,NO,NO,NO,NO,NO,29,0,0,0,,30/10/2018 10:22,0,0,UK,06:00:00,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
292,292,30/10/2018 00:00,46842,THE ACE SUPPLY COMPANY LIMITED,Y0156731,51,2,0,1,3,0,0,NO,NO,NO,NO,NO,51,0,0,0,,30/10/2018 10:22,0,0,UK,EXCESSREPORTED,LATE,0,0,0,,,,0,,,,,,,,CLEAR,
293,293,30/10/2018 00:00,46843,ACTIVE BRAND,Y0156732,50,1,0,0,1,0,0,YES,NO,NO,NO,NO,50,0,0,0,,30/10/2018 10:22,0,0,UK,EXCESSREPORTED,LATE,0,0,0,,,,0,,,,,,,,CLEAR,
294,294,30/10/2018 00:00,46844,THYSSENKRUPP,Y0156730,25,2,1,1,0,0,0,NO,NO,NO,NO,NO,25,0,0,0,,30/10/2018 10:22,0,0,Germany,EXCESSREPORTED,LATE,0,0,0,,,,0,,,,,,,,CLEAR,
295,295,30/10/2018 00:00,46845,SKF (UK) LTD,BLOCK XY,2,0,0,0,0,0,0,NO,NO,NO,NO,NO,37,0,0,0,,30/10/2018 10:22,0,0,UK,EXCESSREPORTED,LATE,0,0,0,,,,0,,,,,,,,CLEAR,
296,296,30/10/2018 00:00,46846,STURGESS,Y0156728,5,2,0,1,0,0,0,NO,NO,NO,NO,NO,5,0,0,0,,30/10/2018 10:22,0,0,UK,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
297,297,30/10/2018 00:00,46847,3M AUTOMOTIVE (PAINT),Y0156727,180,1,0,0,17,0,0,YES,NO,NO,NO,NO,180,1,0,0,,30/10/2018 10:22,0,0,UK,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
298,298,30/10/2018 00:00,46848,ABRACS LIMITED,Y0156725,20,1,0,0,1,0,0,NO,NO,NO,NO,NO,20,0,0,0,,30/10/2018 10:22,0,0,UK,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
299,299,30/10/2018 00:00,46849,SERVICE TECHNOLOGY,Y0156724,33,1,0,0,5,0,0,YES,NO,NO,NO,NO,33,0,0,0,,30/10/2018 10:22,0,0,Germany,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
300,300,30/10/2018 00:00,46850,ZF TRADING UK LTD,Y0156723,5,1,0,1,0,0,0,NO,NO,NO,NO,NO,5,0,0,0,,30/10/2018 10:22,0,0,Germany,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
301,301,30/10/2018 00:00,46854,BRAKE ENGINEERING,Y0156719,8,1,0,1,0,0,0,YES,NO,NO,NO,NO,8,0,0,0,,30/10/2018 10:22,0,0,UK,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
302,302,30/10/2018 00:00,46855,DONAFLEX,Y0156716,36,2,0,0,4,0,0,YES,NO,NO,NO,NO,36,0,0,0,,30/10/2018 10:22,0,0,France,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
303,303,30/10/2018 00:00,46856,PETRONAS,3591,20,1,0,0,0,0,0,NO,NO,NO,NO,NO,20,0,0,0,,30/10/2018 10:22,0,0,UK,RETURN TO SUPPLIER,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
304,304,30/10/2018 00:00,46857,MAGNETI MARELLI A/M PARTS & SERVICE,Y0156517,1,1,0,1,0,0,0,NO,NO,NO,NO,NO,1,0,0,0,,30/10/2018 10:22,0,0,Italy,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
305,305,30/10/2018 00:00,46858,THE ACE SUPPLY COMPANY LIMITED,Y0156708,20,6,0,1,1,0,0,NO,NO,NO,NO,NO,20,0,0,0,,30/10/2018 10:22,0,0,UK,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
306,306,30/10/2018 00:00,46860,AUTOMOTIVE SPARE PARTS AG,Y0156686,2,1,0,1,0,0,0,YES,NO,NO,NO,NO,2,0,0,0,,30/10/2018 10:22,0,0,Czech,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
307,307,30/10/2018 00:00,46861,UFI FILTERS SPA,Y0156684,2,1,0,0,1,0,0,YES,NO,NO,NO,NO,2,0,0,0,,30/10/2018 10:22,0,0,Italy,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
308,308,30/10/2018 00:00,46862,PETRONAS,3585,40,1,0,0,0,0,0,NO,NO,NO,NO,NO,40,0,0,0,,30/10/2018 10:22,0,0,UK,RETURN TO SUPPLIER,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
309,309,30/10/2018 00:00,46864,MOTOR SERVICE INTERNATIONAL GMBH,Y0156653,18,3,1,1,1,0,0,NO,NO,NO,NO,NO,18,0,0,0,,30/10/2018 10:22,0,0,Germany,EXCESSREPORTED,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
310,310,30/10/2018 00:00,46865,LPR SRL,Y0156649,72,1,2,0,0,0,0,YES,NO,NO,NO,NO,72,0,0,0,,30/10/2018 10:22,0,0,Italy,EXCESSREPORTED,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
311,311,30/10/2018 00:00,46866,VALEO SERVICE UK LTD.,Y0156650,1,1,0,0,1,0,0,NO,NO,NO,NO,NO,1,0,0,0,,30/10/2018 10:22,0,0,UK,EXCESSREPORTED,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
312,312,30/10/2018 00:00,54494,TRW - AFTERMARKET OPERATIONS,,0,0,0,0,0,0,2,NO,NO,NO,NO,NO,0,0,0,0,,30/10/2018 10:22,0,0,UK,11:00:00,,0,0,0,,,,0,,,,,,,,CLEAR,
313,313,30/10/2018 00:00,CON1840,MSKU3693537,Y0155665,4398,12,25,0,277,0,28,YES,NO,NO,NO,NO,4398,23,0,0,,30/10/2018 10:22,0,0,China,23:00:00,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
314,314,30/10/2018 00:00,CON1842,PONU0481529,Y0155677,3114,13,14,1,617,0,28,YES,NO,NO,NO,NO,3114,33,0,0,,30/10/2018 10:22,0,0,China,23:59:00,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
315,315,30/10/2018 00:00,CON1873,UACU3539143,Y0155711,2681,18,43,1,80,0,28,YES,NO,NO,NO,NO,2681,15,0,0,,30/10/2018 10:22,0,0,China,21:30:00,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
316,316,30/10/2018 00:00,CON1935,TCNU4177411,Y0155595,15056,18,2,0,927,0,48,YES,NO,NO,NO,NO,15056,64,0,0,,30/10/2018 10:22,0,0,,18:00:00,LATE,0,0,0,,,,0,,,,,,,,CLEAR,
317,317,30/10/2018 00:00,CON1937,MSKU7269342,Y0155631,3604,13,3,0,734,0,28,YES,NO,NO,NO,NO,3604,36,0,0,,30/10/2018 10:22,0,0,China,07:00:00,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
318,318,30/10/2018 00:00,CON1943,TCKU1110683,Y0155635,3114,26,18,0,487,0,28,YES,NO,NO,NO,NO,3114,28,0,0,,30/10/2018 10:22,0,0,China,06:00:00,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
319,319,30/10/2018 00:00,CON2025,TGHU1355764,Y0156409,1143,9,24,0,0,0,28,YES,NO,NO,NO,NO,1143,7,0,0,,30/10/2018 10:22,0,0,CHINA,19:00:00,LATE,0,0,0,,,,0,,,,,,,,CLEAR,
320,320,30/10/2018 00:00,CON2039,TLLU1579640,Y0156479,1452,7,28,0,0,0,28,YES,NO,NO,NO,NO,1452,8,0,0,,30/10/2018 10:22,0,0,Spain,17:30:00,LATE,0,0,0,,,,0,,,,,,,,CLEAR,
321,321,30/10/2018 00:00,CON2041,TCLU4839167,Y0156406,1341,4,26,0,0,0,26,YES,NO,NO,NO,NO,1341,7,0,0,,30/10/2018 10:22,0,0,Spain,22:30:00,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
322,322,30/10/2018 00:00,I2871,JACK SEALEY LIMITED,Y0156713,3,1,0,1,0,1,0,NO,NO,NO,NO,NO,3,0,0,0,,30/10/2018 10:22,0,0,UK,UNBOOKED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
323,323,30/10/2018 00:00,I3747,STANDARD MOTOR PRODUCTS EUROPE LTD,Y0156714,100,1,0,0,1,0,0,YES,NO,NO,NO,NO,100,0,0,0,,30/10/2018 10:22,0,0,UK,UNBOOKED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
324,324,30/10/2018 00:00,I4954,IN PHASE INTERNATIONAL LTD,Y0156715,18,2,0,0,2,2,0,NO,NO,NO,NO,NO,18,0,0,0,,30/10/2018 10:22,0,0,UK,UNBOOKED,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
325,325,30/10/2018 00:00,I9567,HERTH & BUSS FAHRZEUGTEILE GMBH & C,Y0156738,17,5,0,1,0,2,0,NO,NO,NO,NO,NO,17,0,0,0,,30/10/2018 10:22,0,0,Germany,UNBOOKED,LATE,0,0,0,,,,0,,,,,,,,CLEAR,
326,326,30/10/2018 00:00,IN0564,DYNOMEC LTD,Y0156652,120,2,0,0,3,3,0,NO,NO,NO,NO,NO,120,1,0,0,,30/10/2018 10:22,0,0,UK,UNBOOKED,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
327,327,30/10/2018 00:00,IN6788,UNICORN BV,Y0156692,84,9,1,1,5,7,0,YES,NO,NO,NO,NO,84,1,0,0,,30/10/2018 10:22,0,0,Netherland,UNBOOKED,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
328,328,30/10/2018 00:00,IN7708,JVC (UK),Y0156654,1,1,0,0,1,1,0,NO,NO,NO,NO,NO,1,0,0,0,,30/10/2018 10:22,0,0,UK,UNBOOKED,DAY,0,0,0,,,,0,,,,,,,,CLEAR,
329,329,30/10/2018 00:00,UK9422,WALKER PRODUCTS,Y0156663,7,153,0,0,0,4,0,NO,NO,NO,NO,NO,1,8,0,0,,30/10/2018 10:22,0,0,USA,UNBOOKED,NIGHT,0,0,0,,,,0,,,,,,,,CLEAR,
638,638,09/11/2018 00:00,CON1998,MEDU1252782,Y0157283,1595,3,32,0,0,0,28,NO,NO,NO,NO,NO,1595,11,0,0, ,14/11/2018 10:24,2,0, ,12:00:00,DAY,0,0,0,, ,,0,dgoss,20858,Dan Goss,,,,LOCKED,COMPLETED,
770,770,12/11/2018 00:00,45098,K.& N.FILTERS (EUROPE) LTD.,Y0157512,516,190,2,24,62,0,2,NO,NO,NO,NO,NO,516,16,0,0, ,13/11/2018 02:22,1,0,UK,08:30:00,DAY,0,0,0,, ,,0,dgoss2,20858,Dan Goss,,,,LOCKED,COMPLETED,
535,535,08/11/2018 00:00,CON1974,TGHU1754281,Y0157185,2974,7,28,0,97,0,28,YES,NO,NO,NO,NO,2974,14,0,0, ,13/11/2018 21:39,10,0,China,22:00:00,NIGHT,0,0,0,, ,,0,dgoss,20858,Dan Goss,,,,LOCKED,IN PROGRESS,
630,630,09/11/2018 00:00,48508,ADROIT ACCESSORIES LIMITED,Y0157436,3608,7,7,0,18,0,4,NO,NO,NO,NO,NO,3608,14,0,0, ,14/11/2018 11:25,2,0,UK,17:00:00,LATE,0,0,0,, ,,0,dgoss,20858,Dan Goss,,,,LOCKED,IN PROGRESS,
637,637,09/11/2018 00:00,CON1995,BMOU2650769,Y0157281,1512,1,28,0,0,0,28,NO,NO,NO,NO,NO,1512,10,1,1,234,11/11/2018 02:30,1,0, ,00:30:00,NIGHT,0,0,0,, ,,0,dgoss3,20858,Dan Goss,,,,LOCKED,IN PROGRESS,
727,727,12/11/2018 00:00,45118,ABRACS LIMITED,Y0157405,285,4,0,0,15,0,1,NO,NO,NO,NO,NO,285,2,1,1,254,12/11/2018 19:16,1,0,UK,12:30:00,DAY,0,0,0,, ,,0,dgoss,20858,Dan Goss,,,,LOCKED,IN PROGRESS,
772,772,12/11/2018 00:00,CON2005,MSKU2058310,Y0157348,3492,18,18,1,565,0,28,YES,NO,NO,NO,NO,3492,32,0,0, ,13/11/2018 02:15,1,0,China,08:00:00,DAY,0,0,0,, ,,0,dgoss2,20858,Dan Goss,,,,LOCKED,IN PROGRESS,
823,823,13/11/2018 00:00,39293,LUK AFTERMARKET-SERVICE LTD.,Y0157182,1490,106,82,19,365,0,43,NO,NO,YES,YES,NO,1490,39,1,2,256,13/11/2018 15:53,2,0,Germany,18:30:00,LATE,0,0,0,, ,,0,dgoss2,20858,Dan Goss,,,,LOCKED,IN PROGRESS,
330,330,29/10/2018 00:00,IN7478,AUTOELECTRO LIMITED,Y0156645,10,7,7,0,0,1,0,NO,NO,NO,NO,NO,10,1,0,0,,01/11/2018 18:32,0,0,UK,UNBOOKED,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
331,331,29/10/2018 00:00,CON1899,TGHU5315918,Y0155302,2100,7,71,0,0,525,0,YES,NO,NO,NO,NO,2100,18,0,0,,01/11/2018 18:32,0,0,China,06:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
332,332,29/10/2018 00:00,44528,AIRTEX PRODUCTS S.A.,Y0156570,93,8,1,1,6,0,1,NO,NO,NO,NO,NO,93,1,0,0,,01/11/2018 18:32,0,0,Spain,09:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
333,333,29/10/2018 00:00,46549,AJUSA UK LTD,Y0156367,231,17,0,3,7,0,1,NO,NO,NO,NO,NO,231,2,0,0,,01/11/2018 18:32,0,0,UK,12:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
334,334,29/10/2018 00:00,44570,LUK AFTERMARKET-SERVICE LTD.,Y0156590,2639,176,66,23,108,0,67,NO,NO,NO,NO,NO,2639,36,0,0,,01/11/2018 18:32,0,0,Germany,05:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
335,335,29/10/2018 00:00,44571,LUK AFTERMARKET-SERVICE LTD.,Y0156583,2674,120,61,8,126,0,60,NO,NO,NO,NO,NO,2674,32,0,0,,01/11/2018 18:32,0,0,Germany,15:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
336,336,29/10/2018 00:00,46718,LUK AFTERMARKET-SERVICE LTD.,Y0156623,1,1,1,0,0,0,0,NO,NO,NO,NO,NO,1,0,0,0,,01/11/2018 18:32,0,0,Germany,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
337,337,29/10/2018 00:00,44543,ALPHA PACKAGING,Y0156380,632,4,8,1,0,0,4,NO,NO,NO,NO,NO,632,4,0,0,,01/11/2018 18:32,0,0,UK,11:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
338,338,29/10/2018 00:00,44551,ARNOTT EUROPE,Y0156161,36,11,1,3,5,0,1,NO,NO,NO,NO,NO,36,1,0,0,,01/11/2018 18:32,0,0,Netherland,11:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
339,339,29/10/2018 00:00,42182,AUTOMOTIVE SPARE PARTS AG,Y0154026,1194,81,66,32,7,0,64,YES,NO,NO,NO,NO,1194,19,0,0,,01/11/2018 18:32,0,0,Czech,09:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
340,340,29/10/2018 00:00,44413,ASPA GMBH,Y0156507-06,2930,163,9,14,93,1,7,NO,NO,NO,NO,NO,2930,24,0,0,,01/11/2018 18:32,0,0,Germany,15:30:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
341,341,29/10/2018 00:00,21075,CONTINENTAL TEVES AG & CO. OHG,Y0156607,2317,247,15,31,104,0,16,NO,NO,NO,NO,NO,2317,29,0,0,,01/11/2018 18:32,0,0,Germany,17:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
342,342,29/10/2018 00:00,46002,RODEX OTOMOTIV SANAYI VE DIS TIC A.,Y0156587,13713,106,39,3,396,0,48,YES,NO,NO,NO,NO,13713,49,0,0,,01/11/2018 18:32,0,0,Turkey,20:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
343,343,29/10/2018 00:00,CON1779,TRLU8830167,Y0155282,1512,1,28,0,0,0,28,NO,NO,NO,NO,NO,1512,11,0,0,,01/11/2018 18:32,0,0,,10:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
344,344,29/10/2018 00:00,CON1780,TTNU1546838,Y0155266,1638,2,31,0,0,0,28,NO,NO,NO,NO,NO,1638,11,0,0,,01/11/2018 18:32,0,0,,20:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
345,345,29/10/2018 00:00,CON2031, CRXU0653657,Y0156481,1992,2,28,0,0,0,28,YES,NO,NO,NO,NO,1992,9,0,0,,01/11/2018 18:32,0,0,Spain,22:30:00,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
346,346,29/10/2018 00:00,44531,ZF TRADING UK LTD,Y0156486,162,4,1,1,4,0,3,NO,NO,NO,NO,NO,162,1,0,0,,01/11/2018 18:32,0,0,UK,09:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
347,347,29/10/2018 00:00,46720,BREMBO ITALY,Y0156617,3,1,0,0,1,0,0,YES,NO,NO,NO,NO,3,0,0,0,,01/11/2018 18:32,0,0,ITALY,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
348,348,29/10/2018 00:00,44562,BTN TURBOCHARGER SERVICE LTD.,Y0156484-Y0156483-Y0156609,142,32,4,5,12,0,5,YES,NO,NO,NO,NO,142,3,0,0,,01/11/2018 18:32,0,0,UK,11:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
349,349,29/10/2018 00:00,46542,CLEAN DIESEL INTERNATIONAL LTD,Y0156429,1932,2,2,0,62,0,9,NO,NO,NO,NO,NO,1932,10,0,0,,01/11/2018 18:32,0,0,UK,10:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
350,350,29/10/2018 00:00,44561,CHARLES HURST,Y0156550,337,68,11,12,3,0,8,NO,NO,NO,NO,NO,337,8,0,0,,01/11/2018 18:32,0,0,UK,COLLECTION,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
351,351,29/10/2018 00:00,46724,CLOROX EUROPE LIMITED (ARMORED AUTO),Y0156595,12,1,0,0,1,0,0,NO,NO,NO,NO,NO,12,0,0,0,,01/11/2018 18:32,0,0,UK,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
352,352,29/10/2018 00:00,CON1819,EITU0308743 ,Y0154695,11920,5,0,0,482,1192,0,YES,NO,NO,NO,NO,1192,31,0,0,,01/11/2018 18:32,0,0,UK,15:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
353,353,29/10/2018 00:00,44572,COMPLETE STEERING,Y0156619,116,22,19,1,0,0,11,NO,NO,NO,NO,NO,116,5,0,0,,01/11/2018 18:32,0,0,UK,11:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
354,354,29/10/2018 00:00,46725,COMMERCIAL PROPSHAFT SERVICES LIMIT,3558,2,1,0,0,0,0,0,NO,NO,NO,NO,NO,2,0,0,0,,01/11/2018 18:32,0,0,UK,RETURN TO SUPPLIER,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
355,355,29/10/2018 00:00,44549,DL PRODUCTS LTD,Y0156458,2204,17,0,0,45,0,2,YES,NO,NO,NO,NO,2204,6,0,0,,01/11/2018 18:32,0,0,UK,15:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
356,356,29/10/2018 00:00,42521,DE OLIBRION,Y0155426,2748,7,57,0,0,0,57,YES,NO,NO,NO,NO,2748,15,0,0,,01/11/2018 18:32,0,0,Holland,21:00:00,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
357,357,29/10/2018 00:00,46276,DE OLIBRION,Y0156569,1368,1,57,0,0,0,57,YES,NO,NO,NO,NO,1368,13,0,0,,01/11/2018 18:32,0,0,Holland,07:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
358,358,29/10/2018 00:00,45564,DURAND,Y0156337,1468,5,33,0,0,0,33,YES,NO,NO,NO,NO,1468,9,0,0,,01/11/2018 18:32,0,0,France,17:30:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
359,359,29/10/2018 00:00,IN7018,EXEDY CLUTCH EUROPE LTD,Y0156646,9,3,0,1,0,5,0,NO,NO,NO,NO,NO,9,0,0,0,,01/11/2018 18:32,0,0,UK,UNBOOKED,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
360,360,29/10/2018 00:00,44533,ELRING PARTS CO.LTD.,Y0156383,4110,90,0,4,94,0,3,NO,NO,NO,NO,NO,4110,22,0,0,,01/11/2018 18:32,0,0,UK,16:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
361,361,29/10/2018 00:00,44574,EXIDE TECHNOLOGIES (TRANSPORTATION),Y0155919,1177,8,25,0,0,0,24,NO,NO,NO,NO,NO,1177,9,0,0,,01/11/2018 18:32,0,0,Poland ,06:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
362,362,29/10/2018 00:00,46230,EXIDE TECHNOLOGIES (TRANSPORTATION),Y0156006,1428,1,28,0,0,0,25,NO,NO,NO,NO,NO,1428,10,0,0,,01/11/2018 18:32,0,0,Poland ,22:00:00,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
363,363,29/10/2018 00:00,46378,EXIDE TECHNOLOGIES (TRANSPORTATION),Y0156171,1275,1,25,0,0,0,25,NO,NO,NO,NO,NO,1275,9,0,0,,01/11/2018 18:32,0,0,Poland ,16:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
364,364,29/10/2018 00:00,44537,EURAX LIMITED,Y0156639,15172,291,90,22,139,0,13,NO,NO,NO,NO,NO,9349,66,0,0,,01/11/2018 18:32,0,0,UK,16:30:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
365,365,29/10/2018 00:00,44545,LESJOFORS SPRINGS UK LTD,Y0156599,965,43,37,20,70,0,13,YES,NO,NO,NO,NO,965,13,0,0,,01/11/2018 18:32,0,0,UK,12:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
366,366,29/10/2018 00:00,44535,FAI AUTOMOTIVE PLC,Y0156601,451,19,0,2,27,0,2,YES,NO,NO,NO,NO,451,3,0,0,,01/11/2018 18:32,0,0,UK,10:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
367,367,29/10/2018 00:00,46656,FAI AUTOMOTIVE PLC,,0,0,0,0,0,0,2,YES,NO,NO,NO,NO,0,0,0,0,,01/11/2018 18:32,0,0,UK,COLLECTION,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
368,368,29/10/2018 00:00,44523,FERDINAND BILSTEIN JR.GMBH & CO.KG,Y0156378,4080,70,2,3,99,0,7,NO,NO,NO,NO,NO,4080,22,0,0,,01/11/2018 18:32,0,0,Germany,10:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
369,369,29/10/2018 00:00,46228,SOGEFI FILTRATION LTD.,Y0156448,32240,91,2,0,988,1,65,NO,NO,NO,NO,NO,32240,155,0,0,,01/11/2018 18:32,0,0,UK,21:00:00,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
370,370,29/10/2018 00:00,44521,FIRST LINE LIMITED,Y0156618,2373,140,8,14,94,0,12,YES,NO,NO,NO,NO,2373,15,0,0,,01/11/2018 18:32,0,0,UK,07:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
371,371,29/10/2018 00:00,44410,FTE AUTOMOTIVE LTD,Y0156023-22,2136,112,0,2,217,0,6,YES,NO,NO,NO,NO,2136,7,0,0,,01/11/2018 18:32,0,0,Germany,08:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
372,372,29/10/2018 00:00,46293,GKN SERVICE INTERNATIONAL GMBH,Y0156319,97,30,18,2,3,0,3,NO,NO,NO,NO,NO,97,5,0,0,,01/11/2018 18:32,0,0,Germany,09:30:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
373,373,29/10/2018 00:00,46716,GKN SERVICE INTERNATIONAL GMBH,Y0156630,155,8,1,0,15,0,0,NO,NO,NO,NO,NO,155,2,0,0,,01/11/2018 18:32,0,0,Germany,EXCESSREPORTED,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
374,374,29/10/2018 00:00,45861,GULF OIL SUPPLY COMPANY LIMITED,Y0155464,3079,20,34,3,19,0,32,NO,NO,NO,NO,NO,3079,19,0,0,,01/11/2018 18:32,0,0,MALTA,18:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
375,375,29/10/2018 00:00,46410,HIDRIA AET D.O.O,Y0156258,3860,26,0,1,27,0,1,NO,NO,NO,NO,NO,386,4,0,0,,01/11/2018 18:32,0,0,SLOVENIA,13:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
376,376,29/10/2018 00:00,46660,HOLT LLOYD,Y0156528,4416,46,8,2,26,0,10,NO,NO,NO,NO,NO,4416,20,0,0,,01/11/2018 18:32,0,0,UK,16:30:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
377,377,29/10/2018 00:00,46732,HOTBRAY LTD,Y0156642,46,8,0,2,5,1,1,NO,NO,NO,NO,NO,46,1,0,0,,01/11/2018 18:32,0,0,Wembley,CROSSDOCK,NIGHT,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
378,378,29/10/2018 00:00,38345,ACTIVE BRAND,Y0156597,3474,6,17,0,325,0,32,YES,NO,NO,NO,NO,3474,22,0,0,,01/11/2018 18:32,0,0,UK,08:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
379,379,29/10/2018 00:00,45574,ACTIVE BRAND,Y0155589,4650,5,24,0,145,0,7,YES,NO,NO,NO,NO,4650,17,0,0,,01/11/2018 18:32,0,0,UK,15:00:00,LATE,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
380,380,29/10/2018 00:00,CON1931,TLLU6080041,Y0155684,718,15,43,1,0,0,28,YES,NO,NO,NO,NO,718,9,0,0,,01/11/2018 18:32,0,0,China,07:00:00,DAY,0,0,0,,,,0,,,,,,,CLEAR,ROLLED,
