#,STATUS,DeliveryReference,ASN_Number,DeliveryDate,Last_Saved,UpdatedByName,Grid_No,Total_Operatives,TotalShortRows,TotalExtraRows,Supplier_Code,Supplier_Name,SHIFT,Due_Time,Calc_Hours,Total_Hours,Pallets_Due,Cartons_Due,Origin,Expected_Lines,Expected_Cases,Actual_Cases,Estimated_Totes,Estimated_Cages,Estimated_Pallets,ArrivalTime,GRN_Number
1,IN PROGRESS,51949,Y0160556,04/01/2019 00:00:00,04/01/2019 22:23:09,Adrian Vasilaiche,250b,5,0,0,BSW0101,BACA SAFETY,LATE,16:30:00,5,0,3,0,UK,2,2134,2134,27,0,0,01/01/1970 00:00:00,
2,IN PROGRESS,CON2255,Y0160303,04/01/2019 00:00:00,04/01/2019 21:41:31,Steffi Fernandes,262,6,0,0,LUD0101,TRLU9153097,LATE,18:30:00,13,0,28,0,China,8,3804,3804,17,0,34,01/01/1970 00:00:00,
3,IN PROGRESS,CON2266,Y0160314,04/01/2019 00:00:00,04/01/2019 21:37:02,Gheorghita Pruteanu,266,10,0,0,SGP0201,MOAU1434273,NIGHT,22:30:00,37,0,19,0,China,25,10430,10430,456,0,0,01/01/1970 00:00:00,
4,IN PROGRESS,50143,Y0160753-Y0160752,04/01/2019 00:00:00,04/01/2019 21:32:50,Adrian Vasilaiche,250b,4,0,0,SAS0301,MOTIVE COMPONENTS LTD,LATE,17:00:00,3,0,2,0,UK,36,300,300,14,7,0,01/01/1970 00:00:00,
5,IN PROGRESS,48014,Y0160746,04/01/2019 00:00:00,04/01/2019 21:30:28,Adrian Vasilaiche,250b,3,0,0,KNF0101,K.& N.FILTERS (EUROPE) LTD.,LATE,16:00:00,29,0,4,0,UK,303,1694,1694,124,37,3,01/01/1970 00:00:00,
6,IN PROGRESS,CON2386,Y0160026,04/01/2019 00:00:00,04/01/2019 21:29:29,Gheorghita Pruteanu,253,10,0,0,LUD0101,TRHU2305332,NIGHT,21:30:00,28,0,28,0,China,38,3524,3524,436,4,16,01/01/1970 00:00:00,
7,IN PROGRESS,CON2276,Y0160291,04/01/2019 00:00:00,04/01/2019 21:26:12,Mitesh Pancholi,261,8,0,0,BRB0401,TCLU6813881,LATE,20:30:00,22,0,22,0,China,20,1881,1881,377,1,21,01/01/1970 00:00:00,
8,IN PROGRESS,51986,Y0160787-Y0160786,04/01/2019 00:00:00,04/01/2019 21:13:44,Valency Fernandes,268,13,0,0,MER0601/TEK0101,MERKEZ OTOMOTIVE/ LIM OTOMOTIV,LATE,19:00:00,46,0,66,0, ,84,5511,5511,294,13,56,01/01/1970 00:00:00,
9,COMPLETED,CON2211,Y0158081,04/01/2019 00:00:00,04/01/2019 21:12:18,Mitesh Pancholi,262,6,0,0,LUD0101,POCU0488577,LATE,20:00:00,13,2.41678166666667,28,0,China,4,3960,3960,0,0,36,01/01/1970 00:00:00,
10,IN PROGRESS,53312,Y0160839,04/01/2019 00:00:00,04/01/2019 21:10:54,Adrian Vasilaiche,250b,4,0,0,SER0501,SERENCO (UK) LTD,LATE,16:30:00,11,0,8,0,UK,4,2520,2520,51,0,0,01/01/1970 00:00:00,
