#,STATUS,DeliveryReference,ASN_Number,DeliveryDate,Last_Saved,UpdatedByName,Grid_No,Total_Operatives,TotalShortRows,TotalExtraRows,Supplier_Code,Supplier_Name,SHIFT,Due_Time,Calc_Hours,Total_Hours,Pallets_Due,Cartons_Due,Origin,Expected_Lines,Expected_Cases,Actual_Cases,Estimated_Totes,Estimated_Cages,Estimated_Pallets,ArrivalTime,GRN_Number
54,ROLLED,50027,Y0160431,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,BERU AG,DAY,09:00:00,25,0,13,0,Germany,27,5742,5742,96,1,0,01/01/1970 00:00,
55,ROLLED,51898,Y0160498,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,EPTG (POWERFLEX) LTD.,DAY,09:00:00,13,0,0,13,UK,159,538,538,69,14,0,01/01/1970 00:00,
56,ROLLED,51095,Y0160451,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,TECHTRON LTD,DAY,07:00:00,23,0,29,0,UK,3,1492,1492,0,0,126,01/01/1970 00:00,
57,ROLLED,51970,Y0160730,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,34FL9619,DAY,08:00:00,95,0,66,0,Turkey,108,12550,12550,265,0,70,01/01/1970 00:00,
58,ROLLED,53297,Y0160771,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,QNIGDAO BREMBO TRADING CO LTD,DAY,EXCESSREPORTED,0,0,0,0,China,1,2,2,1,0,0,01/01/1970 00:00,
59,ROLLED,50072,Y0160761,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,VALEO SERVICE UK LTD.,DAY,05:30:00,6,0,21,0,UK,28,163,163,4,5,20,01/01/1970 00:00,
60,ROLLED,51856,Y0160397,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,JESSE LAI INCORPORATION,LATE,CROSSDOCK,1,0,0,0,China,5,65,65,7,1,1,01/01/1970 00:00,
61,ROLLED,53299,Y0160768,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,NINGBO YADA TRAFFIC EQUIPMENT LTD,LATE,EXCESSREPORTED,0,0,0,0,China,1,5,5,0,0,1,01/01/1970 00:00,
62,ROLLED,53265,Y0160754,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,REMANED,NIGHT,EXCESSREPORTED,0,0,0,0,SPAIN,3,8,8,2,1,0,01/01/1970 00:00,
63,ROLLED,47860,Y0160742,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,BOWA,DAY,11:00:00,8,0,2,0,Poland,30,3485,3485,35,2,0,01/01/1970 00:00,
64,ROLLED,53266,Y0160751,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,SHANGHAI LUDA AUTO PARTS CO., LTD.,LATE,EXCESSREPORTED,1,0,0,0,China,3,142,142,18,1,0,01/01/1970 00:00
65,ROLLED,CON2325,Y0160305,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,KKTU7930819,NIGHT,22:30:00,31,0,28,0,China,24,2526,2526,479,0,47,01/01/1970 00:00,
66,ROLLED,CON2400,Y0160327,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,TEMU0173892,NIGHT,22:30:00,18,0,28,0,China,18,3034,3034,185,1,28,01/01/1970 00:00,
67,ROLLED,CON2340,Y0160279,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,YMMU4122832,NIGHT,23:45:00,36,0,0,465,China,13,1860,1860,0,0,214,01/01/1970 00:00,
68,ROLLED,CON2328,Y0160377,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,FSCU5111773,NIGHT,21:30:00,10,0,28,0,China,24,800,800,0,1,49,01/01/1970 00:00,
69,ROLLED,CON2395,Y0160330,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,TCLU7566024,NIGHT,21:00:00,17,0,28,0,China,17,3010,3010,188,1,24,01/01/1970 00:00,
70,ROLLED,CON2411,Y0160366,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,TTNU2153286,DAY,09:30:00,26,0,28,0,China,12,3032,3032,423,0,20,01/01/1970 00:00,
71,ROLLED,51877,Y0160505,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,ELECTRICFIL AUTOMOTIVE, ASA,LATE,15:00:00,5,0,2,0,France,32,1587,1587,38,2,0,01/01/1970 00:00
72,ROLLED,52003,Y0160649,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,DL PRODUCTS LTD,LATE,15:30:00,8,0,2,0,UK,25,2965,2965,50,0,0,01/01/1970 00:00,
73,ROLLED,50102,Y0160733,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,BRAKE ENGINEERING,LATE,16:00:00,9,0,5,0,UK,77,1070,1070,107,8,0,01/01/1970 00:00,
74,ROLLED,CON0088,Y0160748,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,SEGU5724203,NIGHT,03:00:00,6,0,25,0,Spain,1,1050,1050,0,0,25,01/01/1970 00:00,
75,IN PROGRESS,CON2492,Y0160301,03/01/2019 00:00,03/01/2019 04:32,Gheorghita Pruteanu, ,7,0,0,ALL0201,TLLU4125379,NIGHT,23:45:00,34,0,0,515,Taiwan,155,3583,3583,50,43,106,01/01/1970 00:00,
76,IN PROGRESS,47873,Y0160590,02/01/2019 00:00,03/01/2019 02:18,Gheorghita Pruteanu, ,13,0,0,MAG0501,MAGNETI MARELLI A/M PARTS & SERVICE,NIGHT,22:00:00,24,0,53,0,Italy,238,922,922,12,69,12,01/01/1970 00:00,
77,IN PROGRESS,CON2320,Y0160318,02/01/2019 00:00,03/01/2019 02:07,Gheorghita Pruteanu, ,2,0,0,SGP0201,TRHU2300990,NIGHT,21:30:00,17,0,28,0,China,12,2770,2770,200,1,23,01/01/1970 00:00,
78,IN PROGRESS,50761,Y0160478,02/01/2019 00:00,03/01/2019 00:16,Gheorghita Pruteanu, ,2,0,0,DOB0201,DE OLIBRION,NIGHT,21:00:00,13,0,57,0,Holland,1,1368,1368,0,0,57,01/01/1970 00:00,
79,IN PROGRESS,51971, ,02/01/2019 00:00,03/01/2019 00:08,Gheorghita Pruteanu, ,20,0,0,MOG0101,TGHU6037874,NIGHT,21:00:00,95,0,48,0,Turkey,0,0,0,0,0,0,01/01/1970 00:00,
80,IN PROGRESS,51984, ,02/01/2019 00:00,02/01/2019 22:59,Adrian Vasilaiche,250b,13,0,0,MOG0101,34AD4454,LATE,15:00:00,95,0,66,0,Turkey,0,0,0,0,0,0,01/01/1970 00:00,
81,IN PROGRESS,51637,Y0160347,02/01/2019 00:00,02/01/2019 22:34,Steffi Fernandes,264,12,0,0,TEK0101,TEKNOROT/Lim Otomotiv ,LATE,16:30:00,46,0,65,0,Turkey,130,9428,9428,520,4,23,01/01/1970 00:00,
82,IN PROGRESS,CON2278,Y0160297,02/01/2019 00:00,02/01/2019 22:24,Mitesh Pancholi,261,3,0,0,BRB0401,TRLU9764440,LATE,20:30:00,18,0,22,0,China,23,1924,1924,246,0,24,01/01/1970 00:00,
83,IN PROGRESS,51672,Y0160313,02/01/2019 00:00,02/01/2019 21:58,Valency Fernandes,256,11,0,0,KAU0201,KAUTEK OTOMOTIV A.S.,LATE,17:00:00,24,0,17,0,Turkey,53,8219,8219,204,1,0,01/01/1970 00:00,
84,IN PROGRESS,CON2391,Y0160325,02/01/2019 00:00,02/01/2019 21:45,Steffi Fernandes,266,6,0,0,WAM0101,TEMU0617364,LATE,15:30:00,16,0,26,0,China,22,2388,2388,152,1,28,01/01/1970 00:00,
85,IN PROGRESS,51134,Y0160597,28/12/2018 00:00,02/01/2019 21:21,Steffi Fernandes,259,8,0,0,,TETROSYL LIMITED,LATE,17:00:00,6,0,17,0,UK,7,820,820,0,0,23,01/01/1970 00:00,
86,IN PROGRESS,50953,Y0160244,28/12/2018 00:00,02/01/2019 21:14,Mitesh Pancholi,256,1,0,0,,LPR SRL,DAY,08:00:00,31,0,50,0,Italy,103,4073,4073,223,8,72,01/01/1970 00:00,
87,IN PROGRESS,CON2371,Y0159511,02/01/2019 00:00,02/01/2019 21:13,Steffi Fernandes,261,6,0,0,BAT0501,MEDU2351959,LATE,17:00:00,9,0,28,0, ,1,1260,1260,0,0,28,01/01/1970 00:00,
88,IN PROGRESS,51505,Y0160286,02/01/2019 00:00,02/01/2019 20:45,Valency Fernandes,252,20,0,0,WYN0201,WYNN OIL,LATE,16:00:00,50,0,31,0,UK,38,11690,11690,141,1,12,01/01/1970 00:00,
89,IN PROGRESS,51368,Y0160624,02/01/2019 00:00,02/01/2019 20:32,Steffi Fernandes,265,12,0,0,TET0101,TETROSYL LIMITED,LATE,17:00:00,19,0,24,0,UK,13,7564,7564,40,1,23,01/01/1970 00:00,
90,IN PROGRESS,49904,Y0160293,02/01/2019 00:00,02/01/2019 20:21,Steffi Fernandes,263,8,0,0,SUO0201,SHELL U K OIL PRODUCTS LIMITED,LATE,16:00:00,27,0,33,0,UK,10,4980,4980,106,5,23,01/01/1970 00:00,
91,IN PROGRESS,CON2413,Y0160360,02/01/2019 00:00,02/01/2019 19:55,Steffi Fernandes,262,11,0,0,,NYKU2747210, , ,0,0,0,0, ,0,0,0,0,0,0,01/01/1970 00:00,
92,IN PROGRESS,49777,Y0160306,02/01/2019 00:00,02/01/2019 18:12,Steffi Fernandes,260,2,0,0,ETT0101,EXIDE TECHNOLOGIES (TRANSPORTATION),LATE,16:00:00,9,0,25,0,Poland ,1,1275,1275,0,0,25,01/01/1970 00:00,
93,IN PROGRESS,50063,Y0160304,02/01/2019 00:00,02/01/2019 17:13,Mitesh Pancholi, ,2,0,0,ETT0101,EXIDE TECHNOLOGIES (TRANSPORTATION),LATE,19:30:00,5,0,28,0,Poland ,1,1008,1008,0,0,28,01/01/1970 00:00,
94,IN PROGRESS,52078,Y0160654,02/01/2019 00:00,02/01/2019 16:33,Valency Fernandes, ,10,0,0,FAE0101,FRANCISCO ALBERO S.A.,LATE,15:30:00,12,0,1,0,Spain,56,2305,2305,38,4,0,01/01/1970 00:00,
95,IN PROGRESS,CON2442,Y0160408,02/01/2019 00:00,02/01/2019 16:11,Steffi Fernandes,258,6,0,0,BAT0501,MEDU3845093,LATE,15:00:00,9,0,28,0, ,1,1260,1260,0,0,26,01/01/1970 00:00,
96,IN PROGRESS,51404,Y0160296,02/01/2019 00:00,02/01/2019 14:05,Ivan Yordanov,250a ,9,0,0,FAO0101,FISCHER AUTOMOTIVE,DAY,10:00:00,15,0,2,0,POLAND,23,7872,7872,27,1,0,01/01/1970 00:00,
97,IN PROGRESS,49353,Y0160689,02/01/2019 00:00,02/01/2019 13:56,Ivan Yordanov,250a,5,0,0,ARN0301,ARNOTT EUROPE,DAY,12:00:00,5,0,5,0,Netherland,1,500,500,84,0,0,01/01/1970 00:00,
98,COMPLETED,CON2495,Y0160014,02/01/2019 00:00,02/01/2019 13:56,Illya Uzunov,251,13,0,0,QHT0101,CMAU8269599,DAY,06:00:00,90,0,96,0,INDIA,106,25299,25299,1041,0,0,01/01/1970 00:00,
99,IN PROGRESS,51678,Y0160608,02/01/2019 00:00,02/01/2019 13:39,Ivan Yordanov,250a,2,0,0,GTX0101,CASTROL (UK) LIMITED,DAY,10:00:00,7,0,5,0,UK,3,1240,1240,40,0,3,01/01/1970 00:00,
100,IN PROGRESS,51654,Y0160298,02/01/2019 00:00,02/01/2019 13:31,Ivan Yordanov,250a,3,0,0,VNE0101,V.N.E. GMBH,DAY,12:00:00,1,0,1,0, ,7,50,50,1,1,0,01/01/1970 00:00,
101,IN PROGRESS,49621,Y0160300,02/01/2019 00:00,02/01/2019 12:09,Ivan Yordanov,250a,5,0,0,MCG0101,MCGARD DEUTSCHLAND GMBH,DAY,09:30:00,6,0,3,0,Germany,17,1224,1224,27,1,0,01/01/1970 00:00,
102,IN PROGRESS,A7997,SO,02/01/2019 00:00,02/01/2019 11:43,Cristina Ciobanu,255,1,0,0,TPC0201,TPC AUTOMOTIVE LTD,NIGHT,UNBOOKED,0,0,0,1,UK,1,1,1,0,0,0,01/01/1970 00:00,
103,IN PROGRESS,A4395,Y0160722,02/01/2019 00:00,02/01/2019 11:27,Cristina Ciobanu,255,1,0,0,IPI0301,IN PHASE INTERNATIONAL LTD,LATE,UNBOOKED,0,0,0,3,UK,3,38,38,2,0,0,01/01/1970 00:00,
104,IN PROGRESS,CON2389,Y0160027,02/01/2019 00:00,02/01/2019 11:20,Nicoleta Rus,259,8,0,0,WAM0101,TGHU0342103,DAY,07:30:00,29,0,28,0,China,27,2851,2851,498,1,24,01/01/1970 00:00,
105,IN PROGRESS,49619,Y0160600,02/01/2019 00:00,02/01/2019 11:05,Ivan Yordanov,250a,1,0,0,AIR0501,AIRTEX PRODUCTS S.A.,DAY,09:00:00,1,0,1,0,Spain,4,94,94,7,1,0,01/01/1970 00:00,
106,COMPLETED,CON2378,Y0160014,02/01/2019 00:00,02/01/2019 11:00,Illya Uzunov,253,11,0,0,AHA0101,NYKU4375679,DAY,06:30:00,18,0,39,0,China,2,2928,2928,0,0,85,01/01/1970 00:00,
107,IN PROGRESS,50016,Y0160315,02/01/2019 00:00,02/01/2019 10:58,Ivan Yordanov,250a ,7,0,0,DAY0101,DAYCO EUROPE S.R.L.,DAY,07:00:00,7,0,6,6,Italy,33,1694,1694,56,2,0,01/01/1970 00:00,
108,COMPLETED,CON2280,Y0160107,02/01/2019 00:00,02/01/2019 10:18,Ionut Petreanu,257a,5,0,0,WAM0101,MSKU7439541,DAY,07:30:00,24,0,28,0,China,32,2223,2223,369,1,24,01/01/1970 00:00,
109,COMPLETED,51094,Y0160432,02/01/2019 00:00,02/01/2019 09:24,Ionut Petreanu,262,4,0,0,TCH0201,TECHTRON LTD,DAY,07:00:00,9,0,32,0,UK,1,768,768,0,0,32,01/01/1970 00:00,
110,IN PROGRESS,47969,Y0160391,02/01/2019 00:00,02/01/2019 09:06,Ivan Yordanov, ,3,0,0,JPL0201,JACTONE PRODUCTS LTD,DAY,10:30:00,2,0,1,0,UK,1,200,200,29,0,0,01/01/1970 00:00,
111,IN PROGRESS,CON2401,Y0160095,02/01/2019 00:00,02/01/2019 08:26,Nicoleta Rus,260,6,0,0,LUD0101,KKTU8184648,DAY,06:30:00,28,0,28,0,China,20,3086,3086,475,1,19,01/01/1970 00:00,
112,IN PROGRESS,50013,Y0160702,02/01/2019 00:00,02/01/2019 08:12,Ivan Yordanov, ,8,0,0,VAL0101,VALEO SERVICE UK LTD.,DAY,05:30:00,3,0,3,0,UK,25,85,85,10,4,3,01/01/1970 00:00,
113,ROLLED,51923,,02/01/2019 00:00,02/01/2019 06:22,,,0,0,0,,PARAGON Customer Communications ,DAY,14:00:00,0,0,2,0,UK,0,0,0,0,0,0,01/01/1970 00:00,
