#,STATUS,DeliveryReference,ASN_Number,DeliveryDate,Last_Saved,UpdatedByName,Grid_No,Total_Operatives,TotalShortRows,TotalExtraRows,Supplier_Code,Supplier_Name,SHIFT,Due_Time,Calc_Hours,Total_Hours,Pallets_Due,Cartons_Due,Origin,Expected_Lines,Expected_Cases,Actual_Cases,Estimated_Totes,Estimated_Cages,Estimated_Pallets,ArrivalTime,GRN_Number
1,IN PROGRESS,53259,Y0160738,03/01/2019 00:00,03/01/2019 22:02,Adrian Vasilaiche,250b,13,0,0,,THE ACE SUPPLY COMPANY LIMITED,LATE,15:30:00,26,0,12,0,UK,80,3955,3955,148,11,11,01/01/1970 00:00,
2,IN PROGRESS,51972,Y0160727,03/01/2019 00:00,03/01/2019 21:28,Gheorghita Pruteanu,266,13,0,0,,TCLU5896120,NIGHT,21:00:00,95,0,48,0,Turkey,32,6993,6993,312,0,60,01/01/1970 00:00,
3,IN PROGRESS,CON2396,Y0160334,03/01/2019 00:00,03/01/2019 21:09,Steffi Fernandes,260,8,0,0,,KKTU7958288,LATE,19:30:00,51,0,28,0,China,14,3946,3946,1101,1,0,01/01/1970 00:00,
4,IN PROGRESS,50104,Y0160626,03/01/2019 00:00,03/01/2019 21:02,Steffi Fernandes,265,5,0,0,,DE OLIBRION,LATE,20:00:00,21,0,57,0,Holland,8,5832,5832,74,0,42,01/01/1970 00:00,
5,IN PROGRESS,CON2318,Y0160316,03/01/2019 00:00,03/01/2019 20:56,Mitesh Pancholi,256,8,0,0,,NYKU2501696,LATE,20:30:00,14,0,28,0,China,10,2424,2424,142,3,22,01/01/1970 00:00,
6,IN PROGRESS,CON2402,Y0160295,03/01/2019 00:00,03/01/2019 20:55,Mitesh Pancholi,262,7,0,0,,FBIU0348801,LATE,20:30:00,15,0,22,0,China,22,1554,1554,225,1,17,01/01/1970 00:00,
7,IN PROGRESS,CON2403,Y0160292,03/01/2019 00:00,03/01/2019 20:19,Steffi Fernandes,260,8,0,0,,TCLU2512154,LATE,18:30:00,25,0,22,0,China,18,2318,2318,307,0,60,01/01/1970 00:00,
8,IN PROGRESS,51839,Y0160723,03/01/2019 00:00,03/01/2019 19:52,Adrian Vasilaiche,250b,6,0,0,,TETROSYL EXPRESS LTD.,LATE,15:00:00,15,0,8,0,UK,17,2783,2783,35,2,20,01/01/1970 00:00,
9,IN PROGRESS,51562,Y0160211,27/12/2018 00:00,03/01/2019 19:39,Steffi Fernandes,259,4,0,0,ETT0101,EXIDE TECHNOLOGIES (TRANSPORTATION),NIGHT,23:00:00,9,0,25,0,Poland ,1,1275,1275,0,0,25,01/01/1970 00:00,
10,IN PROGRESS,CON2446,Y0160415,03/01/2019 00:00,03/01/2019 19:27,Mitesh Pancholi,262,6,0,0,,MSCU6774973,LATE,17:00:00,12,0,28,0, ,1,1900,1900,0,0,34,01/01/1970 00:00,
11,IN PROGRESS,49749,Y0160275,03/01/2019 00:00,03/01/2019 19:21,Adrian Vasilaiche,250b,3,0,0,,FREEMAN AUTOMOTIVE (UK) LIMITED,DAY,10:30:00,14,0,8,0,UK,162,616,616,19,33,0,01/01/1970 00:00,
12,IN PROGRESS,50117,Y0160756,03/01/2019 00:00,03/01/2019 19:11,Mitesh Pancholi,258,6,0,0,,EUROPEAN SPRINGS & PRESSINGS LIMITE,LATE,17:30:00,17,0,32,0,UK,4,2880,2880,180,0,28,01/01/1970 00:00,
13,IN PROGRESS,51822,Y0160736,03/01/2019 00:00,03/01/2019 18:53,Adrian Vasilaiche,250b,7,0,0,,STURGESS,LATE,15:00:00,3,0,9,0,UK,34,120,120,3,4,0,01/01/1970 00:00,
14,IN PROGRESS,CON2207,Y0158080,03/01/2019 00:00,03/01/2019 18:15,Steffi Fernandes,264,8,0,0,,GESU3114043,LATE,17:30:00,15,0,28,0,China,9,4268,4268,82,0,26,01/01/1970 00:00,
15,IN PROGRESS,50094,Y0160731,03/01/2019 00:00,03/01/2019 17:59,Mitesh Pancholi,259,12,0,0,,MAINLINE AUTOMOTIVE,LATE,16:00:00,17,0,22,0,UK,81,1483,1483,45,10,33,01/01/1970 00:00,
16,IN PROGRESS,CON2404,Y0160368,03/01/2019 00:00,03/01/2019 17:20,Steffi Fernandes,263,9,0,0,,NYKU2966029,LATE,16:30:00,39,0,28,0, ,15,3438,3438,430,0,62,01/01/1970 00:00,
17,IN PROGRESS,43871,Y0154776,08/10/2018 00:00,03/01/2019 17:06,Rakesh Patel, ,3,0,0,,CASTROL (UK) LIMITED,DAY,09:00:00,15,0,26,0,UK,1,2912,2912,0,0,26,01/01/1970 00:00,
18,IN PROGRESS,CON2405,Y0160370,03/01/2019 00:00,03/01/2019 16:52,Mitesh Pancholi,256,7,0,0,,DFSU1736920,LATE,15:30:00,32,0,28,0, ,18,3058,3058,441,0,22,01/01/1970 00:00,
19,IN PROGRESS,CON2445,Y0160412,03/01/2019 00:00,03/01/2019 16:04,Mitesh Pancholi,260,5,0,0,,MSCU1263590,LATE,15:00:00,15,0,28,0, ,1,2392,2392,0,0,40,01/01/1970 00:00,
20,IN PROGRESS,51406,Y0160378,03/01/2019 00:00,03/01/2019 16:01,Mitesh Pancholi,258,3,0,0,,GREENCHEM,LATE,16:00:00,13,0,33,0,UK,1,2079,2079,0,0,33,01/01/1970 00:00,
21,IN PROGRESS,51985,Y0160747,03/01/2019 00:00,03/01/2019 15:27,Valency Fernandes,252,3,0,0,,34FL9691,LATE,16:00:00,95,0,66,0,Turkey,93,10765,10765,0,0,0,01/01/1970 00:00,
22,IN PROGRESS,50080,Y0160762,03/01/2019 00:00,03/01/2019 14:18,Cristina Ciobanu,255,0,0,0,,CAPRICORN CAR PARTS LIMITED,DAY,09:00:00,2,0,0,2,UK,20,225,225,5,3,0,01/01/1970 00:00,
23,IN PROGRESS,50029,Y0160764,03/01/2019 00:00,03/01/2019 14:16,Ivan Yordanov,250a,6,2,2,,COMMERCIAL PROPSHAFT SERVICES LIMIT,DAY,10:00:00,23,0,10,0,UK,146,1030,1030,22,11,74,01/01/1970 00:00,
24,IN PROGRESS,51600,Y0160302,03/01/2019 00:00,03/01/2019 14:10,Ivan Yordanov,250a,6,0,0,,TURTLE WAX EUROPE LTD,DAY,13:00:00,7,0,1,0,UK,10,1524,1524,20,8,0,01/01/1970 00:00,
25,IN PROGRESS,CON2424,Y0160381,03/01/2019 00:00,03/01/2019 13:54,Illya Uzunov, ,8,0,0,,YMLU4804947,DAY,08:30:00,37,0,36,0,China,96,9684,9684,280,1,37,01/01/1970 00:00,
26,COMPLETED,50108,Y0160757,03/01/2019 00:00,03/01/2019 13:19,Ivan Yordanov,250a,3,0,0,,KRP SUPPLIES,DAY,10:30:00,6,0,2,0,UK,15,1025,1025,45,0,0,01/01/1970 00:00,
27,COMPLETED,51769,Y0160273,20/12/2018 00:00,03/01/2019 13:16,Ivan Yordanov,250a,2,0,0,,ROBERT BOSCH LIMITED,DAY,12:00:00,1,0,2,0, ,1,72,72,0,0,2,01/01/1970 00:00,
28,IN PROGRESS,CON2444,Y0160411,03/01/2019 00:00,03/01/2019 13:00,Ionut Petreanu,260,5,0,0,,MEDU3798052,DAY,11:30:00,11,0,28,0, ,7,1511,1511,0,0,29,01/01/1970 00:00,
29,COMPLETED,CON0001,Y0160108,03/01/2019 00:00,03/01/2019 12:58,Ionut Petreanu,258,11,0,0,,MRKU9125738 ,DAY,06:00:00,62,0,16,0,Dubai,29,15379,15379,172,3,3,01/01/1970 00:00,
30,IN PROGRESS,50106,Y0160743,03/01/2019 00:00,03/01/2019 12:10,Cristina Ciobanu,255,1,0,0,,SIXTOONE,DAY,09:00 TO 12:00,1,0,0,5,UK,4,258,258,3,1,0,01/01/1970 00:00,
31,COMPLETED,50061,Y0160744,03/01/2019 00:00,03/01/2019 11:57,Ionut Petreanu,257a,5,0,0,,ACTIVE BRAND,DAY,08:00:00,18,0,22,0,UK,7,7034,7034,92,0,13,01/01/1970 00:00,
32,COMPLETED,51850,Y0160448,03/01/2019 00:00,03/01/2019 10:09,Ivan Yordanov,250a,5,0,0,,CLEAN DIESEL INTERNATIONAL LTD,DAY,12:30:00,2,0,2,0,UK,1,444,444,16,0,0,01/01/1970 00:00,
33,IN PROGRESS,49610,Y0160773,03/01/2019 00:00,03/01/2019 09:58,Illya Uzunov, ,22,0,0,,MANN+HUMMEL (UK) LTD.,DAY,07:00:00,48,0,37,0,UK,192,11575,11575,514,7,0,01/01/1970 00:00,
34,IN PROGRESS,51863,Y0160445,03/01/2019 00:00,03/01/2019 09:42,Ivan Yordanov,250a,4,1,0,,CLEAN DIESEL INTERNATIONAL LTD,DAY,12:00:00,6,0,4,0,UK,1,1296,1296,47,0,0,01/01/1970 00:00,
35,IN PROGRESS,51075,Y0160251,03/01/2019 00:00,03/01/2019 09:13,Illya Uzunov, ,17,0,0,,U-POL LTD (PAINT),DAY,07:30:00,21,0,20,0,UK,31,7393,7393,0,57,20,01/01/1970 00:00,
36,COMPLETED,51661,Y0160401,03/01/2019 00:00,03/01/2019 09:01,Ivan Yordanov,250a,3,0,0,,BREMI FAHRZEUG-ELEKTRIK GMBH & CO,DAY,09:30:00,2,0,1,0,Germany,21,224,224,13,2,0,01/01/1970 00:00,
37,ROLLED,A8440,,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,DELPHI DIESEL AFTERMARKET,DAY,UNBOOKED,0,0,0,1,UK,1,1,1,0,0,0,01/01/1970 00:00,
38,ROLLED,IN105458,SO,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,CONTINENTAL DIRECT,DAY,UNBOOKED,0,0,0,1, ,1,2,2,0,0,0,01/01/1970 00:00,
39,ROLLED,53267,Y0160734,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,AUTO JAPANESE SPARES,LATE,EXCESSREPORTED,0,0,0,0,UK,1,9,9,1,0,0,01/01/1970 00:00,
40,ROLLED,53268,Y0160592,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,DELPHI DIESEL AFTERMARKET,NIGHT,EXCESSREPORTED,0,0,0,0,UK,2,53,53,3,0,0,01/01/1970 00:00,
41,ROLLED,IN105688,Y0160776,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,KARNETIC LTD/AUTEL UK,LATE,UNBOOKED,1,0,0,1,UK,2,230,230,3,0,0,01/01/1970 00:00,
42,ROLLED,51842,Y0160450,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,CREST MEDICAL LTD,LATE,15:00 TO 17:00,1,0,0,3,UK,2,263,263,0,0,0,01/01/1970 00:00,
43,ROLLED,51865,Y0160453,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,P F JONES LTD,DAY,12:00:00,2,0,1,0, ,7,235,235,9,1,0,01/01/1970 00:00,
44,ROLLED,51916,Y0160508,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,WALKER PRODUCTS,DAY,12:30:00,4,0,0,11,USA,39,406,406,22,3,0,01/01/1970 00:00,
45,ROLLED,51910,Y0160496,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,P F JONES LTD,DAY,12:30:00,1,0,0,3, ,3,126,126,5,1,0,01/01/1970 00:00,
46,ROLLED,53250,Y0160717,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,TRAFFISAFE LIMITED,LATE,EXCESSREPORTED,2,0,0,0,UK,3,560,560,0,0,0,01/01/1970 00:00,
47,ROLLED,50075,Y0160348,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,SHELL U K OIL PRODUCTS LIMITED,DAY,12:00:00,13,0,30,0,UK,5,2257,2257,1,0,28,01/01/1970 00:00,
48,ROLLED,48148,Y0160578,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,MAGNETI MARELLI A/M PARTS & SERVICE,NIGHT,22:00:00,25,0,56,0,Italy,164,1301,1301,23,40,48,01/01/1970 00:00,
49,ROLLED,CON2447,Y0160417,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,TCKU1767256,NIGHT,23:30:00,11,0,28,0,,10,1453,1453,0,0,33,01/01/1970 00:00,
50,ROLLED,49479,Y0160774,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,VIGNAL SYSTEMS,DAY,11:30:00,1,0,1,0,France,1,96,96,12,0,0,01/01/1970 00:00,
51,ROLLED,50115,Y0160403,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,EXIDE TECHNOLOGIES (TRANSPORTATION),DAY,06:00:00,9,0,20,0,Poland ,11,1222,1222,0,0,22,01/01/1970 00:00,
52,ROLLED,51861,Y0160447,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,TETROSYL EXPRESS LTD.,DAY,10:00:00,4,0,1,0,UK,9,723,723,13,0,3,01/01/1970 00:00,
53,ROLLED,CON2443,Y0160409,03/01/2019 00:00,03/01/2019 06:33,,,0,0,0,,MEDU6851870,DAY,09:30:00,9,0,28,0,,1,1260,1260,0,0,26,01/01/1970 00:00,
