#,STATUS,DeliveryReference,ASN_Number,DeliveryDate,Last_Saved,UpdatedByName,Grid_No,Total_Operatives,TotalShortRows,TotalExtraRows,Supplier_Code,Supplier_Name,SHIFT,Due_Time,Calc_Hours,Total_Hours,Pallets_Due,Cartons_Due,Origin,Expected_Lines,Expected_Cases,Actual_Cases,Estimated_Totes,Estimated_Cages,Estimated_Pallets,ArrivalTime,GRN_Number
24,COMPLETED,50349,Y0160873,10/01/2019 00:00,10/01/2019 08:17,Mitesh Pancholi,264,3,0,0,VAL0101,VALEO SERVICE UK LTD.,DAY,05:30:00,3,3.560277778,12,0,UK,13,162,162,0,2,9,01/01/1970 00:00,
25,COMPLETED,49599,Y0160904,08/01/2019 00:00,10/01/2019 07:53,Carmen Gugulici,250b,4,0,0,,SYKES PICKAVANT LTD,LATE,15:30:00,2,0,3,0,UK,11,91,91,0,1,9,01/01/1970 00:00,
26,COMPLETED,53501,Y0161267,10/01/2019 00:00,10/01/2019 07:33,Carmen Gugulici,250b,7,0,0,VER0501,VERNET,DAY,11:00:00,8,0,5,0,France,36,999,999,55,2,0,01/01/1970 00:00,
27,COMPLETED,CON2322,Y0160666,09/01/2019 00:00,10/01/2019 07:07,Mitesh Pancholi,266,4,0,0,HML0201,MOAU0781160,NIGHT,23:00:00,29,1.863591389,22,0,China,7,4138,4138,494,0,11,01/01/1970 00:00,
28,COMPLETED,50293,Y0160924,09/01/2019 00:00,10/01/2019 06:46,Mitesh Pancholi,260,7,0,0,BRB0301,BREMBO ITALY,DAY,06:00:00,42,37.16333333,64,0,ITALY,231,5656,5656,438,20,26,01/01/1970 00:00,
29,ROLLED,CON2390,Y0160699,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,WAM0101,MOAU0684684,NIGHT,22:00:00,16,0,28,0,China,19,1958,1958,27,0,71,01/01/1970 00:00,
30,ROLLED,CON2393,Y0160701,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,WAM0101,TRHU3894880,NIGHT,22:30:00,14,0,28,0,China,10,2148,2148,122,0,27,01/01/1970 00:00,
31,ROLLED,50367,Y0161023,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,WDF0101,WD-40 COMPANY LIMITED,DAY,10:00:00,4,0,2,0,UK,13,530,530,6,1,9,01/01/1970 00:00,
32,ROLLED,53516,Y0161009,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,VIG0201,VIGNAL SYSTEMS,DAY,11:30:00,5,0,5,0,France,15,403,403,54,1,0,01/01/1970 00:00,
33,ROLLED,53517,Y0161008,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,VIG0201,VIGNAL SYSTEMS,DAY,11:30:00,0,0,1,0,France,2,33,33,6,0,0,01/01/1970 00:00,
34,ROLLED,CON2394,Y0160697,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,WAM0101,TEMU5123641,LATE,18:30:00,21,0,28,0,China,17,2900,2900,312,1,20,01/01/1970 00:00,
35,ROLLED,CON2498,Y0160706,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,TON0101,DRYU4080537,LATE,20:00:00,12,0,38,0,China,1,152,152,0,0,76,01/01/1970 00:00,
36,ROLLED,53540,Y0161042,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,TOO0101,THE TOOL CONNECTION,LATE,16:00:00,21,0,5,0,UK,59,4257,4257,95,1,1,01/01/1970 00:00,
37,ROLLED,53605,Y0161144,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,TTG0101,THE TURBO GUY,LATE,15:30:00,1,0,1,0,UK,6,9,9,0,2,0,01/01/1970 00:00,
38,ROLLED,53490,Y0160995,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,TTI0101,TECHTRONIC,DAY,10:00:00,3,0,2,0,UK,23,192,192,7,6,1,01/01/1970 00:00,
39,ROLLED,53537,Y0161043,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,SPL0401,SPOT PROMOTIONS LTD,DAY,09:00 TO 12:00,4,0,0,9,UK,15,591,591,17,1,0,01/01/1970 00:00,
40,ROLLED,53247,Y0161020-Y0161019,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,TEK0101/BAN0501,Lim Otomotive/Bankosan Otomotiv ,LATE,19:30:00,39,0,44,0,,68,5757,5757,304,2,17,01/01/1970 00:00,
41,ROLLED,47766,Y0161156,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,TET0101,TETROSYL LIMITED,LATE,17:00:00,16,0,26,0,UK,10,4819,4819,86,0,26,01/01/1970 00:00,
42,ROLLED,53464,Y0160939,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,SAX0101,SAXON INDUSTRIALS,DAY,11:00:00,1,0,1,0,UK,11,72,72,0,2,0,01/01/1970 00:00,
43,ROLLED,CON2503,Y0160686,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,SGP0201,KKTU7974273,NIGHT,21:30:00,43,0,22,0,China,41,12290,12290,514,0,0,01/01/1970 00:00,
44,ROLLED,50387,Y0161255,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,SIX0101,SIXTOONE,DAY,09:00 TO 12:00,3,0,0,8,UK,11,434,434,10,1,0,01/01/1970 00:00,
45,ROLLED,53623,Y0161159,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,PAG0101,BRAKE ENGINEERING,LATE,EXCESSREPORTED,0,0,0,0,UK,2,2,2,1,1,0,01/01/1970 00:00,
46,ROLLED,53255,Y0160987,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,POL0201,POLITECNICA,DAY,08:00:00,1,0,2,0,Italy,12,61,61,0,4,0,01/01/1970 00:00,
47,ROLLED,50386,Y0161097,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,MNH0101,MANN+HUMMEL (UK) LTD.,NIGHT,23:00:00,137,0,87,0,Germany,79,26782,26782,907,0,22,01/01/1970 00:00,
48,ROLLED,50369,Y0161108,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,OSR0101,OSRAM LIMITED,DAY,12:00:00,1,0,2,0,Germany,2,200,200,2,0,0,01/01/1970 00:00,
49,ROLLED,50383,Y0161145,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,PAG0101,BRAKE ENGINEERING,LATE,16:00:00,18,0,15,0,UK,43,2650,2650,290,2,0,01/01/1970 00:00,
50,ROLLED,CON2398,Y0160710,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,LUD0101,TCLU3569703,LATE,20:30:00,17,0,28,0,China,13,4090,4090,102,1,36,01/01/1970 00:00,
51,ROLLED,CON2399,Y0160709,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,LUD0101,TCLU2382451,NIGHT,21:30:00,12,0,28,0,China,4,3684,3684,0,0,35,01/01/1970 00:00,
52,ROLLED,50321,Y0161271,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,MAG0501,MAGNETI MARELLI A/M PARTS & SERVICE,LATE,19:00:00,23,0,56,0,Italy,186,1148,1148,45,56,14,01/01/1970 00:00,
53,ROLLED,50191,Y0160789,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,MCG0101,MCGARD DEUTSCHLAND GMBH,DAY,09:30:00,1,0,1,0,Germany,3,192,192,4,0,0,01/01/1970 00:00,
54,ROLLED,53624,Y0161104,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,KLA0201,KLARIUS UK LTD,LATE,EXCESSREPORTED,0,0,0,0, ,1,11,11,1,0,0,01/01/1970 00:00,
55,ROLLED,50400,Y0161067,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,KOY0101,JTEKT EUROPE BEARING BV,DAY,08:00:00,0,0,1,0,UK,4,44,44,3,1,0,01/01/1970 00:00,
56,ROLLED,CON2397,Y0160708,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,LUD0101,KKTU8024439,LATE,19:30:00,21,0,28,0,China,13,3380,3380,266,1,25,01/01/1970 00:00,
57,ROLLED,53602,Y0161121,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,ITG0201,ITG PERFORMANCE AIR FILTERS,DAY,09:00 TO 12:00,1,0,0,1,UK,13,37,37,1,2,1,01/01/1970 00:00,
